DATE_TIME,PLANT,HOUR,MINUTE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,TIME_OF_DAY,HOUR_SIN,HOUR_COS,IRRADIATION,IRRAD_SQUARED,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,TEMP_DIFF,IRRAD_X_MODULE_TEMP,IS_DAYTIME,IRRAD_LAG1,DC_POWER
15-05-2020 00:00,1,0,0,4,15,5,0.0,0.0,1.0,0.0,0.0,25.18,22.86,-2.33,0.0,0,0.0,0.0
15-05-2020 00:15,1,0,15,4,15,5,0.25,0.0,1.0,0.0,0.0,25.08,22.76,-2.32,0.0,0,0.0,0.0
15-05-2020 00:30,1,0,30,4,15,5,0.5,0.0,1.0,0.0,0.0,24.94,22.59,-2.34,0.0,0,0.0,0.0
15-05-2020 00:45,1,0,45,4,15,5,0.75,0.0,1.0,0.0,0.0,24.85,22.36,-2.49,0.0,0,0.0,0.0
15-05-2020 01:00,1,1,0,4,15,5,1.0,0.26,0.97,0.0,0.0,24.62,22.17,-2.46,0.0,0,0.0,0.0
15-05-2020 01:15,1,1,15,4,15,5,1.25,0.26,0.97,0.0,0.0,24.54,21.97,-2.57,0.0,0,0.0,0.0
15-05-2020 01:30,1,1,30,4,15,5,1.5,0.26,0.97,0.0,0.0,24.64,22.35,-2.29,0.0,0,0.0,0.0
15-05-2020 01:45,1,1,45,4,15,5,1.75,0.26,0.97,0.0,0.0,24.87,23.16,-1.71,0.0,0,0.0,0.0
15-05-2020 02:00,1,2,0,4,15,5,2.0,0.5,0.87,0.0,0.0,24.94,23.03,-1.91,0.0,0,0.0,0.0
15-05-2020 02:15,1,2,15,4,15,5,2.25,0.5,0.87,0.0,0.0,25.01,23.34,-1.67,0.0,0,0.0,0.0
15-05-2020 02:30,1,2,30,4,15,5,2.5,0.5,0.87,0.0,0.0,25.01,23.64,-1.37,0.0,0,0.0,0.0
15-05-2020 02:45,1,2,45,4,15,5,2.75,0.5,0.87,0.0,0.0,24.99,24.04,-0.95,0.0,0,0.0,0.0
15-05-2020 03:00,1,3,0,4,15,5,3.0,0.71,0.71,0.0,0.0,25.02,24.38,-0.63,0.0,0,0.0,0.0
15-05-2020 03:15,1,3,15,4,15,5,3.25,0.71,0.71,0.0,0.0,24.99,24.35,-0.63,0.0,0,0.0,0.0
15-05-2020 03:30,1,3,30,4,15,5,3.5,0.71,0.71,0.0,0.0,24.94,24.06,-0.88,0.0,0,0.0,0.0
15-05-2020 03:45,1,3,45,4,15,5,3.75,0.71,0.71,0.0,0.0,24.88,23.71,-1.17,0.0,0,0.0,0.0
15-05-2020 04:00,1,4,0,4,15,5,4.0,0.87,0.5,0.0,0.0,24.68,22.59,-2.09,0.0,0,0.0,0.0
15-05-2020 04:15,1,4,15,4,15,5,4.25,0.87,0.5,0.0,0.0,24.35,21.78,-2.57,0.0,0,0.0,0.0
15-05-2020 04:30,1,4,30,4,15,5,4.5,0.87,0.5,0.0,0.0,24.06,21.85,-2.21,0.0,0,0.0,0.0
15-05-2020 04:45,1,4,45,4,15,5,4.75,0.87,0.5,0.0,0.0,24.01,22.31,-1.71,0.0,0,0.0,0.0
15-05-2020 05:00,1,5,0,4,15,5,5.0,0.97,0.26,0.0,0.0,24.18,22.55,-1.63,0.0,0,0.0,0.0
15-05-2020 05:15,1,5,15,4,15,5,5.25,0.97,0.26,0.0,0.0,24.3,22.98,-1.33,0.0,0,0.0,0.0
15-05-2020 05:30,1,5,30,4,15,5,5.5,0.97,0.26,0.0,0.0,24.33,23.45,-0.88,0.0,0,0.0,0.0
15-05-2020 05:45,1,5,45,4,15,5,5.75,0.97,0.26,0.0,0.0,24.29,23.1,-1.19,0.02,1,0.0,0.0
15-05-2020 06:00,1,6,0,4,15,5,6.0,1.0,0.0,0.01,0.0,24.09,22.21,-1.88,0.13,1,0.0,37.14
